Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
473,FOOD,49.458485,48.83025,80,76.386154,NaN
473,METAL,79.22194,80.54167,80,75.68349,NaN
474,ENERGY,93.0274,91.89143,80,76.18561,NaN
474,FOOD,50.212997,49.575176,80,76.386154,NaN
474,METAL,79.212105,80.53167,80,75.68349,NaN
475,ENERGY,93.888504,92.74203,80,76.18561,NaN
475,FOOD,48.748383,48.129166,80,76.386154,NaN
475,METAL,76.51909,77.79379,80,75.68349,NaN
476,ENERGY,96.57577,95.39647,80,76.18561,NaN
476,FOOD,50.435085,49.794445,80,76.386154,NaN
476,METAL,79.747116,81.0756,80,75.68349,NaN
477,ENERGY,98.28427,97.084114,80,76.18561,NaN
477,FOOD,50.192303,49.554745,80,76.386154,NaN
477,METAL,77.09845,78.382805,80,75.68349,NaN
478,ENERGY,97.2187,96.03155,80,76.18561,NaN
478,FOOD,48.777164,48.15758,80,76.386154,NaN
478,METAL,78.014595,79.31422,80,75.68349,NaN
479,ENERGY,99.96632,98.74562,80,76.18561,NaN
479,FOOD,49.830765,49.1978,80,76.386154,NaN
479,METAL,79.37529,80.69758,80,75.68349,NaN
480,ENERGY,97.36827,96.1793,80,76.18561,NaN
480,FOOD,48.353134,47.738937,80,76.386154,NaN
480,METAL,78.065506,79.365974,80,75.68349,NaN
481,ENERGY,98.516785,97.31379,80,76.18561,NaN
481,FOOD,49.072823,48.449486,80,76.386154,NaN
481,METAL,81.6,82.95934,80,75.68349,NaN
482,ENERGY,101.68612,100.44442,80,76.18561,NaN
482,FOOD,48.55418,47.93743,80,76.386154,NaN
482,METAL,80.93126,82.279465,80,75.68349,NaN
483,ENERGY,101.567505,100.327255,80,76.18561,NaN
483,FOOD,49.544556,48.915226,80,76.386154,NaN
483,METAL,80.38509,81.724205,80,75.68349,NaN
484,ENERGY,102.86567,101.609566,80,76.18561,NaN
484,FOOD,48.564606,47.947723,80,76.386154,NaN
484,METAL,81.460434,82.81746,80,75.68349,NaN
485,ENERGY,103.812805,102.545135,80,76.18561,NaN
485,FOOD,49.308815,48.68248,80,76.386154,NaN
485,METAL,82.233215,83.60311,80,75.68349,NaN
486,ENERGY,105.37084,104.08415,80,76.18561,NaN
486,FOOD,49.108673,48.484882,80,76.386154,NaN
486,METAL,82.31688,83.68817,80,75.68349,NaN
487,ENERGY,106.66629,105.36378,80,76.18561,NaN
487,FOOD,48.935925,48.314327,80,76.386154,NaN
487,METAL,83.01526,84.398186,80,75.68349,NaN
488,ENERGY,102.97262,101.71521,80,76.18561,NaN
488,FOOD,48.081303,47.470562,80,76.386154,NaN
488,METAL,80.54122,81.88293,80,75.68349,NaN
489,ENERGY,106.04279,104.747894,80,76.18561,NaN
489,FOOD,48.507954,47.891792,80,76.386154,NaN
489,METAL,80.77806,82.12372,80,75.68349,NaN
490,ENERGY,105.17818,103.89384,80,76.18561,NaN
490,FOOD,48.910503,48.289227,80,76.386154,NaN
490,METAL,84.18885,85.591324,80,75.68349,NaN
491,ENERGY,104.37455,103.10002,80,76.18561,NaN
491,FOOD,49.796894,49.16436,80,76.386154,NaN
491,METAL,83.98364,85.3827,80,75.68349,NaN
492,ENERGY,105.178604,103.89426,80,76.18561,NaN
492,FOOD,50.205124,49.567406,80,76.386154,NaN
492,METAL,84.0914,85.49225,80,75.68349,NaN
